STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,METHODOLOGY,Methodology,MEASURE,Measure,UNIT_MEASURE,Unit of measure,EXPENDITURE,Expenditure,ADJUSTMENT,Adjustment,TRANSFORMATION,Transformation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,BASE_PER,Base period,DURABILITY,Durability,DECIMALS,Decimals
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,Q,Quarterly,N,National,CPI,Consumer price index,IX,Index,_T,Total,S,"Seasonally adjusted, not calendar adjusted",_Z,Not applicable,1993-Q2,,60.79733,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,Q,Quarterly,N,National,CPI,Consumer price index,IX,Index,_T,Total,S,"Seasonally adjusted, not calendar adjusted",_Z,Not applicable,1993-Q3,,61.0786,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,Q,Quarterly,N,National,CPI,Consumer price index,IX,Index,_T,Total,S,"Seasonally adjusted, not calendar adjusted",_Z,Not applicable,1993-Q4,,61.58489,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,Q,Quarterly,N,National,CPI,Consumer price index,IX,Index,_T,Total,S,"Seasonally adjusted, not calendar adjusted",_Z,Not applicable,1994-Q1,,61.89429,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,Q,Quarterly,N,National,CPI,Consumer price index,IX,Index,_T,Total,S,"Seasonally adjusted, not calendar adjusted",_Z,Not applicable,1994-Q2,,62.24589,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,Q,Quarterly,N,National,CPI,Consumer price index,IX,Index,_T,Total,S,"Seasonally adjusted, not calendar adjusted",_Z,Not applicable,1994-Q3,,62.8225,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,Q,Quarterly,N,National,CPI,Consumer price index,IX,Index,_T,Total,S,"Seasonally adjusted, not calendar adjusted",_Z,Not applicable,1994-Q4,,63.18815,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,Q,Quarterly,N,National,CPI,Consumer price index,IX,Index,_T,Total,S,"Seasonally adjusted, not calendar adjusted",_Z,Not applicable,1995-Q1,,63.65226,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,Q,Quarterly,N,National,CPI,Consumer price index,IX,Index,_T,Total,S,"Seasonally adjusted, not calendar adjusted",_Z,Not applicable,1995-Q2,,64.17262,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,Q,Quarterly,N,National,CPI,Consumer price index,IX,Index,_T,Total,S,"Seasonally adjusted, not calendar adjusted",_Z,Not applicable,1995-Q3,,64.49608,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,Q,Quarterly,N,National,CPI,Consumer price index,IX,Index,_T,Total,S,"Seasonally adjusted, not calendar adjusted",_Z,Not applicable,1995-Q4,,64.84767,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,Q,Quarterly,N,National,CPI,Consumer price index,IX,Index,_T,Total,S,"Seasonally adjusted, not calendar adjusted",_Z,Not applicable,1996-Q1,,65.42428,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,Q,Quarterly,N,National,CPI,Consumer price index,IX,Index,_T,Total,S,"Seasonally adjusted, not calendar adjusted",_Z,Not applicable,1996-Q2,,65.98683,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,Q,Quarterly,N,National,CPI,Consumer price index,IX,Index,_T,Total,S,"Seasonally adjusted, not calendar adjusted",_Z,Not applicable,1996-Q3,,66.36655,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,Q,Quarterly,N,National,CPI,Consumer price index,IX,Index,_T,Total,S,"Seasonally adjusted, not calendar adjusted",_Z,Not applicable,1996-Q4,,66.94316,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,Q,Quarterly,N,National,CPI,Consumer price index,IX,Index,_T,Total,S,"Seasonally adjusted, not calendar adjusted",_Z,Not applicable,1997-Q1,,67.35101,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,Q,Quarterly,N,National,CPI,Consumer price index,IX,Index,_T,Total,S,"Seasonally adjusted, not calendar adjusted",_Z,Not applicable,1997-Q2,,67.50571,,A,Normal value,,,2015,,,,2,Two
